Date,Open,Adj Close
2021-02-01,271.43,279.94
2021-02-02,281.56,290.93
2021-02-03,292.34,284.9
2021-02-04,285.0,283.33
2021-02-05,281.67,284.08
2021-02-08,289.89,287.81
2021-02-09,285.04,283.15
2021-02-10,281.21,268.27
2021-02-11,270.81,270.55
2021-02-12,267.09,272.04
2021-02-16,272.67,265.41
2021-02-17,259.7,266.05
2021-02-18,260.3,262.46
2021-02-19,265.0,260.43
2021-02-22,254.21,238.17
2021-02-23,220.71,232.95
2021-02-24,237.28,247.34
2021-02-25,242.05,227.41
2021-02-26,233.33,225.17
2021-03-01,230.04,239.48
2021-03-02,239.43,228.81
2021-03-03,229.33,217.73
2021-03-04,218.6,207.15
2021-03-05,208.69,199.32
2021-03-08,200.18,187.67
2021-03-09,202.73,224.53
2021-03-10,233.43,222.69
2021-03-11,233.13,233.2
2021-03-12,223.33,231.24
2021-03-15,231.36,235.98
2021-03-16,234.45,225.63
2021-03-17,218.96,233.94
2021-03-18,228.1,217.72
2021-03-19,215.53,218.29
2021-03-22,228.2,223.33
2021-03-23,225.26,220.72
2021-03-24,222.64,210.09
2021-03-25,204.33,213.46
2021-03-26,213.96,206.24
2021-03-29,205.21,203.76
2021-03-30,200.58,211.87
2021-03-31,215.54,222.64
2021-04-01,229.46,220.58
2021-04-05,235.9,230.35
2021-04-06,230.1,230.54
2021-04-07,229.0,223.66
2021-04-08,225.79,227.93
2021-04-09,225.92,225.67
2021-04-12,228.57,233.99
2021-04-13,237.57,254.11
2021-04-14,256.9,244.08
2021-04-15,247.7,246.28
2021-04-16,242.88,246.59
2021-04-19,239.87,238.21
2021-04-20,239.14,239.66
2021-04-21,234.92,248.04
2021-04-22,247.17,239.9
2021-04-23,239.93,243.13
2021-04-26,247.0,246.07
2021-04-27,239.32,234.91
2021-04-28,232.14,231.47
2021-04-29,233.17,225.67
2021-04-30,222.53,236.48
2021-05-03,234.6,228.3
2021-05-04,226.31,224.53
2021-05-05,227.02,223.65
2021-05-06,226.92,221.18
2021-05-07,221.93,224.12
2021-05-10,221.63,209.68
2021-05-11,199.75,205.73
2021-05-12,200.83,196.63
2021-05-13,200.51,190.56
2021-05-14,194.47,196.58
2021-05-17,191.85,192.28
2021-05-18,189.33,192.62
2021-05-19,184.18,187.82
2021-05-20,191.67,195.59
2021-05-21,198.7,193.63
2021-05-24,193.87,202.15
2021-05-25,202.44,201.56
2021-05-26,202.52,206.38
2021-05-27,206.75,210.28
2021-05-28,209.5,208.41
2021-06-01,209.27,207.97
2021-06-02,206.71,201.71
2021-06-03,200.6,190.95
2021-06-04,193.24,199.68
2021-06-07,197.28,201.71
2021-06-08,207.67,201.2
2021-06-09,200.72,199.59
2021-06-10,201.29,203.37
2021-06-11,203.41,203.3
2021-06-14,204.08,205.9
2021-06-15,205.56,199.79
